JobTitle,company,description,Level,Type,StandardJobTitle
Software Project Manager, LINK Development, Full Time · Manager · 9-15 Yrs of Exp · Project Management · Software Development · Computer Science · Software Engineering · Technical · Project · Information Technology (IT) · Software · English - July 4,Managerial,Full Time,Software Engneering 
Lead Software Engineer - Python Back End, LxT, Full Time · Manager · 6+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Python · NoSQL · IT/Software Development - July 15,Managerial,Full Time,Software Engneering 
Software Testing Team Lead, 3D Diagnostix, Full Time · Work From Home · Manager · 4-7 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Testing · Automation Testing · Automation · Software · Agile - July 26,Managerial,Full Time,Software Engneering 
Global IT Infrastructure Service Delivery Manager, Majorel Egypt, Full Time · Manager · 7+ Yrs of Exp · Computer Science · Information Technology (IT) · Communication Skills · Infrastructure · ITIL · IT · Customer Service · English · IT/Software Development - July 28,Managerial,Full Time,IT Category
Software Team Lead, appcorp, Full Time · Manager · 8+ Yrs of Exp · Computer Science · Software · javaScript · Node.js · React · PHP · MySQL · CSS · API · HTML · Software Development · leadership Skills · Java - July 12,Managerial,Full Time,Software Engneering 
IT Project Manager, Confidential, Full Time · Manager · 8-10 Yrs of Exp · Project Management · Information Technology (IT) · Computer Science · Engineering · Management · Computer Engineering · PMP · Project · IT · Communication - June 27,Managerial,Full Time,IT Category
Software Testing Team Leader, Testing Geeks, Full Time · Manager · 8+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software · Engineering · Java · Management · Testing · Programming · API · Selenium - July 6,Managerial,Full Time,Software Engneering 
Software Tech Lead, Inploy, Full Time · Manager · 3-8 Yrs of Exp · Software Development · Computer Science · Computer Engineering · Information Technology (IT) · testing · Troubleshooting · Frontend · Fullstack · Engineering - June 23,Managerial,Full Time,Software Engneering 
Sales Account Manager Software, Streams, Full Time · Manager · 5-10 Yrs of Exp · Sales Target · Sales Skills · Customer Service · Sales · Software · Selling · Customer Service/Support · IT/Software Development · Sales/Retail - New,Managerial,Full Time,Software Engneering 
Software Quality Team Leader - Cairo, MoneyFellows, Full Time · Manager · 6+ Yrs of Exp · Testing · Agile · Selenium · Test Automation tools · Continuous Deployments · Jira · Database · Security · TFS · Computer Science · Software Development - June 20,Managerial,Full Time,Software Engneering 
IT Help Desk Team Leader, El Mansour Development, Full Time · Manager · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Help Desk · Installation · Technical Support · English · IT · Troubleshooting · Computer · Technical - June 7,Managerial,Full Time,IT Category
Software Testing Team Leader, 360Imaging, Full Time · Work From Home · Manager · 7+ Yrs of Exp · Software · Software Development · Software Testing · Test Automation · Jira · Computer Science · Information Technology (IT) · Agile · Testing - June 17,Managerial,Full Time,Software Engneering 
Business Development (Sr.) Manager, Confidential, Full Time · Manager · 8-15 Yrs of Exp · Business Development · Sales · Logistics · Marketing · Communication · English · Business Administration · Courier · Business Development - July 11,Managerial,Full Time,Software Engneering 
Application Development Team Leader, IDH, Full Time · Manager · 5-8 Yrs of Exp · Information Technology (IT) · Software Development · Information Technology · Software · Microsoft Office · Computer Science · Computer Engineering - New,Managerial,Full Time,Software Engneering 
