JobTitle,company,description,Level,Type,StandardJobTitle
Technical Support Engineer, Qsource, Full Time · Entry Level · 0-1 Yrs of Exp · Computer Science · Technical Support · English · CCNA · Communication · Computer · CCNP · Information Technology (IT) · Engineering · Computer Engineering - July 12,Entery Level,Full Time,Software Engneering 
Technical Support Engineer, Qsource, Full Time · Entry Level · 0-1 Yrs of Exp · Computer Science · Technical Support · English · CCNA · Communication · Computer · CCNP · Information Technology (IT) · Engineering · Computer Engineering - July 12,Entery Level,Full Time,Software Engneering 
Content Publisher, TurnDigital, Full Time · Entry Level · 1+ Yrs of Exp · Social Media · Writing · Editing · Content · English · Journalism · Arabic · Digital · Media · Marketing · Communication · Writing/Editorial - June 29,Entery Level,Full Time,Software Engneering 
Profile Specialist, Argaam, Contract · Work From Home · Entry Level · 1-3 Yrs of Exp · Commerce · Saudi Market · Media · Accounting · Economics · Finance · Political Science · Administration · Admin · Admin Work · English - June 6,Entery Level,Full Time And Part Time And Work From Home,Software Engneering 
Junior Maintenance Mechanical Engineer, Sidhom Printing Solutions, Full Time · Entry Level · 1-2 Yrs of Exp · Males Only · Maintenance · Mechanical · English · Communication · Technical · Presentation Skills · Mechanical Engineering · Printing - June 6,Entery Level,Full Time,Software Engneering 
Content Editor ( Gaming & Computer Hardware ), Awfarlak, Full Time · Entry Level · 0-3 Yrs of Exp · Content · Articles · Product Listing · Advertising · E-Commerce · Content Writing · Content Editing · Content Editor · content writer · Marketing - June 28,Entery Level,Full Time,Software Engneering 
Storekeeper, Allamna Integrated Solutions, Full Time · Entry Level · 0-2 Yrs of Exp · Warehousing · Logistics · Supply Chain · Storekeeping · Commerce · Administration · Logistics/Supply Chain · Purchasing/Procurement - July 29,Entery Level,Full Time,Software Engneering 
Corporate Branding And Communication Executive, Majorel Egypt, Full Time · Entry Level · 1+ Yrs of Exp · Marketing · Advertising · Business · Online Marketing · Digital · Corporate Sales · Business Development · Marketing/PR/Advertising - July 25,Entery Level,Full Time,Software Engneering 
Office Manager Internship, Business square, Internship · Entry Level · 0-1 Yrs of Exp · Females Only · Marketing · Communication Skills · English · Administration · Office Management · Secretary · Sales · Oxfam · Administration - June 27,Entery Level,Internship,Software Engneering 
Office Manager Assistant - Internship, Business square, Internship · Entry Level · 0-1 Yrs of Exp · Females Only · Marketing · Communication Skills · English · Administration · Office Management · Secretary · Sales · Administration - June 27,Entery Level,Internship,Software Engneering 
